Review_Id,summary,pros,cons,Date_of_review,Employee_Status,Employee_Title,Rating_Id
RE037,"""Small Organization""",Everyone is very passionate about providing the best care for kids. Pretty small but growing rapidly. Just switched to Epic which is fantastic!!,Leadership is very disconnected from their staff. Anyone above director level will not speak to or even address staff.,3-Nov-18,Current Employee , Applications Systems Analyst,R0037
RE038,"""Great place to work!""",Harbor Freight is a great place to work. The people and culture are awesome and the Executives really care about their employees. Management team is supportive and encourages personal and professional growth. Good benefits and 401k with match.,No partial remote or remote opportunities...hoping that will change in the future.,4-Nov-19,Current Employee , Senior Corporate Recruiter,R0038
RE039,"""Looking for a change in your professional career?""","I am truly grateful for having an opportunity to work for this company. There just isn't an employee that is unhappy here! The culture, the support, and the creative thinking of this company makes it unique in the healthcare world. If you finally want to be a part of something new and innovative, this is the place to be. I have been able to elevate my skill set and provide value to the company which doesn't always happen at workplaces. The symbiotic relationship between Trellis and I motivates me to do my best work every day, yet keeps me always wanting to learn more and more. Pharmacists who have always been looking to elevate their career and make an impact with patients and their outcomes have that opportunity here.",I wish I had been a part of this company since it's inception.,3-Feb-20,Current Employee , Specialty Pharmacist Trainer,R0039
RE040,"""Management Doesn’t Care How You’re Treated""",Cool culture and office. Very laid back environment for the most part.,They let account managers talk to you horribly and they don’t take the time to train you on your specific accounts.,11-Sep-19,Former Employee , Logistics Coordinator,R0040
RE041,"""Good company with great engineers""",sometimes project can be over-engineered,"newest technologies, challenging projects, good work life balance",29-Jan-20,Current Employee , Construction Business Manager,R0041
RE042,"""My experience at Cenlar was amazing!""","Fast-Paced Environment, Excellent Salary, Promotes from within, Family -like environment, Great Standards.",I do not have anything negative to say.,28-Feb-20,Former Employee , Loan Counselor,R0042
RE043,"""Corporation good, pay bad.""","Great people, well organized corporate structure. Management is generally strong and treat people fairly. Support people, especially in Utah are extremely polite.","Low pay. Credit Analysts at CBT are underwriters who get paid as if they were mere analysts. Plus, we have to clock in and out which is absurd for this type of position.",28-Jan-10,Current Employee , Credit Analyst,R0043
RE044,"""Great job, but temps are treated as 2nd class employees.""",This was definitely an easy job. Some employees were very nice. Great new location after we moved. The pay was above average.,Most of management were extremely cold and inconsistent with their standards. Treated temps as disposable workers. Would not train on anything.,15-Apr-15,Former Employee , Business Analyst,R0044
RE045,"""Passionate People, Amazing Tech""",The people really care about helping the customer and each other. Going above and beyond is common. Free lunch and good friendships.,"Long hours to get it all done, but that's more of a self-imposed schedule.",14-Feb-20,Former Employee , Staff Engineer,R0045
RE046,"""Fun place to make a lot of money""",Amazing benefits and commission structure,Turnover is insanely high and product is a tough cold call sale,8-Oct-19,Current Employee , Inside Sales Representative,R0046
RE047,"""Awesome Tech Opportunity""","Promotes within, open office atmosphere. I started here within support and one night talked to my current manager. That one off conversation led to my promotion 6 months later and i love that i was given this opportunity",There really isnt any unless you include the one time the roof caused a massive flood. However we are getting a new office so that isnt really an issue anymore,18-Oct-19,Current Employee , Business Systems Analyst,R0047
RE048,"""Great Place to Work!""","Entrepreneurial culture, good ideas move fast, flexible work environment.",Sometimes things move too fast.,19-Dec-19,Current Employee , Group Communications,R0048
RE049,"""More like a family than a job - Since 2002 GJT &amp; CHA""","*Great pay and benefits. Management really helps you to succeed. With all the expansion, the opportunity to advance quickly is great. If you come with a good attitude and work ethic, you'll go far here. *I started as a Sheetmetal Mechanic and moved to Avionics, then to Contracts writing proposals for Sales and now I work in Sales. I'm proof that this company will advance and promote within. *There's a lot of longevity here. It's not uncommon to see someone celebrating their 10, 15, 20 year anniversary. The company strives hard to keep the environment running like a small family business, even though we're growing. *West Star is very well respected in the industry. West Star has won the #1 MRO award from Pro Pilot Magazine six years in a row, voted by pilots and operators. We're the only MRO to receive the #1 rating since the category's inception.","Watch out for negative people. There's not a lot of them at West Star, but they can be toxic to morale. It's not a con against West Star, but a statement regarding any work environment.",10-Jun-19,Current Employee , Technical Sales Manager,R0049
RE050,"""Great Place To Work""",Fully paid healthcare - Med/ Drug / Vision / Dental 401K Matching Paid Leave Paid Holidays Paid leave for volunteer work Many paid company outings / team building opportunities Executive team works hard to make sure all internal teams have resources they need,New growth has caused new internal budgets,14-Aug-18,Current Employee , Implementation Consultant,R0050
RE051,"""Excellent Growing Company with Many Opportunties""","So many different career paths to choose from. Very much about making sure their employees are happy, satisified & taken care of. Plenty of opportunity to grow and climb within the company","End of month, quarter & year and not so much fun for all of us. Literally new products created everyday to learn become familar with for our clients needs,",14-Jun-19,Current Employee , Data Analyst,R0051
RE052,"""21 years and look forward to another 10 to12!""","Freedom to work, create, and implement plans and programs advantageous to the company.",Everyone has a negative day now and then but a good company always has good days.,15-Oct-15,Current Employee , Corporate Safety Director,R0052
RE053,"""kind of place you can come in and contribute on the first day""","ABMD has a lot to brag about. The company makes the world smallest pump that is FDA approved to recover heart. A claim that no other company can make in the industry. Despite the bragging rights, at ABMD people are extremely focused on helping patients. They even name the meeting rooms with patient names rather then some obscure mechanical part that is used in their flagship product or anatomical part of the heart. It is refreshing to see a group of people who are dedicated to helping patients in their moments of need. The technology profile is diverse and range from open source to proprietary and projects range from production support to R&D. The focus on R&D also provides ample opportunities for engineers to try out new technologies. It is the kind of place you can come in and contribute on the first day.",It would be great to officially support working from home when it doesn't get in the way of collaboration.,21-Feb-20,Current Employee , Senior Software Engineer,R0053
RE054,"""Average to Good company-Could be better""",Good pay Pension and 401K plan Team environment,Work at home or flex time not an option Mgmt says open door policy but not really Shows favoritism,27-Mar-17,Former Employee , Senior Business Systems Analyst,R0054
RE055,"""WOW what a breathe of fresh air...""","Wonderful company that has a major focus on the employees and the patients. From the very start, they invest in an elaborate sales training program and you can feel the culture throughout all departments is to bring people together. Feeling they appreciate the employees who work hard to make a difference is so wonderful - and a welcomed change from the other large companies I have come from. They are always investing in new Research so that we are at the game changes in our field. Like with all companies there will always be ""things to improve upon"", but the difference here is that I feel voices are heard and the company takes the approach to hear the feedback of the teams members and work towards improvements with an open mind.","None yet! Little things will arise I'm sure, but nothing I would address as a CON here.",10-Jan-20,Current Employee , Market Access Manager,R0055
RE056,"""Been at Bimeda for almost 6 years""","Some really great people work there. For some, there are opportunities to travel and work from home.",High turnover but currently have a good team.,13-Dec-19,Current Employee , Marketing Analyst,R0056
RE057,"""Top Notch Company""","Excellent work environment. The degree of professionalism is unmatched. The company really takes care of it's employees through paid health insurance, loaded kitchen for breakfast and lunch(free),unlimited coffee, paid gas(depending on position), free/discounted AA center tickets when available, company get-togethers,etc. In return, employees are motivated to do their jobs with passion and bring a smile to work everyday.","All I can say is that there are some weekends when you will have to work from home or come to the office. Other than that, nothing else to say.",15-Oct-15,Current Employee , Technical Specialist,R0057
RE058,"""Great Environment""",The culture and environment at Integra is very good. Most employees are dedicated to their work and serving the corporate mission. Employees seem to be friendly and willing to help,"The total benefit offering could be stronger, but seems to be in line with this industry. Some systems are currently out of date/older but seem to be getting better.",29-Jan-18,Current Employee , Anonymous,R0058
RE059,"""Great culture, boring product""",ICS has a great culture. The executive team is really great and they put a lot of thought into how they treat their customers and employees. This particular role has some opportunities for travel.,"While at ICS (especially in the services department), your technical skills will shrink to working in their SDK (libraries written in C#). They don't keep up with modern tech, and don't really have an interest in doing so. Basically, if you're just starting your career don't go to ICS. If you are a senior dev, and don't mind working here for the rest of your life, then by all means work at ICS.",6-Jun-18,Former Employee , Technical Consultant,R0059
RE060,"""Ganged upon by leads""","Pay, work environment, hours, free lunches",Backstabbing lead that complain to the Supervisor about One employee that was doing a fantastic job according to another Lead.,12-Oct-17,Former Employee , Data Analyst,R0071
RE061,"""Nothing the same after Ecolab""",Ecolab is much more employee friendly than the old Nalco,I cannot think of anything that qualifies as a con.,4-Mar-17,Former Employee , Research Scientist,R0073
RE062,"""Company with defined goals and optimistic vision""","Adopts an open company culture. There is transparency across departments, meaning all goals and progress towards achieving that goal are posted and known to all employees. This gives a larger picture and keeps you more engaged with your work and how it can contribute to progress that the company is making. Office has a positive vibe, job responsibilities are clearly defined and flexible timings. The good things just keep adding up as a result of fostering a caring environment.",Have to think really hard to find one. If I find one I know it can be dealt internally.,16-Feb-20,Current Employee , SEO Analyst,R0077
RE063,"""Rewarding Job with Great People!""","Scheduling, interactions with perspective students, engagement in campus events, scholarship money, free summer class","Minimum Wage, being outdoors a lot no matter weather condition",25-Jun-19,Former Employee , Admissions Tour Guide/Office Assistant,R0078
RE064,"""Great Place to Work yet concerns about future growth""",Great benefits and Okay 401K match. Flexible working schedules. Non-Profit not as much stress as BIG pharma. Meaningful Work in the Radiology field. A Good Name in the Radiology Field.,Management is just not organized some have been there for years and are very resistant toward change. Upcoming Merger has a lot of people concerned. Cuts to Funding. With a non-profit always concerns about funding.No Room for advancement or career growth you will have to look elsewhere for career growth.,1-May-13,Current Employee , Anonymous,R0079
RE065,"""I'm so lucky to work here!""","A fantastic management team including the best minds in the business keeps their employees satisfied daily. Management often fosters growth and your curiosity to try anything you want. When the company hires you, they certainly invest in YOU. There is never a time I feel like I'm not given the freedom to share my ideas.",I don't have a bad thing to say about the company.,31-Oct-19,Current Employee , Analyst,R0080
RE066,"""A great place to work and grow""","DoubleVerify is comprised of some of the most inspiring, passionate, and intelligent people in the industry. We all push each other on a daily basis because we care deeply about our work. People here work with quality and joy.","The company is growing really fast so it can be hard to get to know everyone, but HR has done a great job at hosting happy hours and fun activities for us to meet folks outside of our immediate teams.",17-Nov-19,Current Employee , Product Manager,R0081
RE067,"""I love working here!""","Close to work, culture and environment is amazing, GREAT benefits!! There are so many opportunities to grow and advance here. I am constantly challenged by my work.",I don't have any at this time.,15-May-19,Current Employee , Business Analyst,R0082
RE068,"""Hands down best place to work in LA!""",They actually care about their employees and understand that happy employees are much more productive! They have the work life balance thing all figured out!,It's hard to find your place in the big picture,14-Aug-14,Current Employee , Analyst,R0083
RE069,"""Awesome Place to Work For""","I have worked for Freedom for over 8 years and I must the Owners, the Senior Leadership is one Awesome Team. They really care about their employees along with a presence in the community. They have setup a fund that helps their employees in time of need and financial hardship and their most recent Pledge to help out Hurricane Harvey victims makes be proud to say I work for FFN in addition to be part of an Awesome Manangement Team. Thank You Linda Luman for bringing your Vison and Wisdom to our Team and having each and everyone of take a step back to help our fellow Man/Woman.",There are no Cons when it comes to workign at Freedom,31-Aug-17,Current Employee , Payroll Manager,R0084
RE070,"""Challenging work, but great company with growth potential""","- The work is incredibly impactful. Hearing stories from our users about how we helped them with crash detection is very rewarding, and you can't get that at very many other places. - Strong recent leadership hires. With top-brass CTO, Mobile and Back-end leadership, I have been finding no shortage of mentorship opportunities. And this is building trust with leadership that we are going to a more diverse, effective team. - Massive scale and interesting tech. Our servers handle something like 6.1 billion API requests every day, and we have best-in-class location and driving technology on iOS and Android platforms.",NULL,15-Feb-20,Current Employee , Software Engineer,R0085
RE071,"""Canopy is a Great Place to Work""","Experienced and skilled management, competitive salary, competent and knowledgeable coworkers, great working conditions",I can't think of any negative aspects.,3-Mar-19,Current Employee , Anonymous Employee,R0086
RE072,"""Data Analyst""",Fun environment and good people,NULL,21-Aug-15,Former Employee , Data Analyst,R0087
RE073,"""Business Development""","From Leadership to Support to sales & Marketing - one of the best companies I have ever worked for: Respect at all levels, great communication, innovative product set. Work hard, the expectations are high - they also know how to motivate employees and support them (best company for employees/Work/life balance)",not really any issues - one of the best companies I have ever worked for.,26-Nov-18,Current Employee , Anonymous,R0088
RE074,"""Perfect Job for a Motivated Hacker""",Innovative tech in an emerging field Assist in the greater good Company culture keeps things fun and competitive The team is great both intellectually and personably.,It makes it a lot harder to complain about my job with the rest of my friends. Less free time than some other jobs.,20-Mar-18,Current Employee , Researcher,R0089
RE075,"""Great Place to Work""",Workplace culture-challenging and important work-never boring-get paid to discuss what others speak about over dinner; freedom for personal development and pursue interests professionally-promotion largely from within-HR is excellent always sensitive to individual situations and needs; candid relation with supervisor (CEO) willing to listen to criticism and areas for disagreement; salary reviews and merit increases always up for discussion; opportunities to interact with other departments (silos between departments largely have been broken in recent years,small staff-not enough hands on deck when necessary challenges inherent in a complex lay-staff relationship pressures of crisis management needs that arise from time to time,14-Nov-17,Current Employee , Director,R0090
RE076,"""Great Energy and Team""","Engaging, thoughtful management team - low ego",Sometimes tough sprints to get things done - but generally positive.,22-Jan-19,Current Employee , Senior Leader,R0091
RE077,"""Hard work but rewarding""","9-80 work schedule happening this year, a lot of similar places have this already so Didi is catching up. Therapists recently got increases in salary, health insurance is very affordable. Didi is hiring some younger senior management which brings fresh ideas and good energy.","Some locations are old and tired, should be moved.",26-Jun-19,Current Employee , Therapist,R0092
RE078,"""Great place to learn and grow""","Competitive 401k, 2 remote days every week, ample professional development offerings",Culture is lacking. Would love more opportunities to connect and celebrate with co-workers.,11-Sep-19,Current Employee , Salesforce Administrator,R0093
RE079,"""Nothing the same after Ecolab""",Ecolab is much more employee friendly than the old Nalco,I cannot think of anything that qualifies as a con.,4-Mar-17,Former Employee , Research Scientist,R0094
RE080,"""A company that cares about its people""","Appian has made a great effort to be a great place to work. Especially for younger engineers, this is a great place to learn and grow. At the same time, the company is committed to the personal growth of its employees. Also, if there are problems, management takes criticism seriously, investigates, and puts into action things that result in positive change.","As the company gets larger, it gets more process-heavy, and it's harder for senior people to know what's really happening on the ground. Appian has grown well, but it's still starting to have big company problems. The engineering department has become very junior heavy in the last few years.",28-Jan-20,Current Employee , Software Architect,R0095
RE081,"""Treated Employees like Rats""",Access to work from home remotely,Lack of access toward upper management Middle management gave poor reviews of employees to keep themselves in their position Lied about the length of the contract to full-time employment (was six ended up being a year),13-Aug-19,Former Employee , Data Analyst,R0096
RE082,"""Opportunity, social impact and vision""","There is real and positive change happening at Richemont. While Richemont has been deliberate about not touting the impact it makes, there is deliberate and significant investment with a long term vision for society and our future. With all this change comes real opportunity for career growth and performance.",With so many brands and high ambitions it does take some work to collaborate but the people are great and are working hard on becoming much more agile.,7-Mar-19,Former Employee , Anonymous,R0097
RE083,"""In a word: People""","Comfy is a passionate little (growing!) startup working on challenges at the intersection of sustainability, productivity and the built environment. The product is an interesting twist of IoT and enterprise SaaS, with no shortage of technical challenges and opportunities to grow. Given the size of the team and supportive culture there's still plenty of room for new people to make a big difference, grow professionally and technically and find their areas of ownership. But most importantly -- the culture and people are fantastic. I've never worked with such a universally smart, talented, dedicated and fun group of people. Whether we're walking through Yosemite, hacking at the office, running up Mt. Tam for sunrise or singing off the back of the ferry (you'll have to visit us for the story of that one), we have a great time together and when the going gets tough, we know we can count on each other.","As a small company with big clients, there's always lots to do -- lots more than there is time for. Prioritization and focus are hard, and we can't always do every ""fun"" project when we want to -- but we're certainly not bored. We have a really collaborative environment and people are always happy to help -- but at our size and with our workload the most opportunities come to those who can stretch themselves and be proactive.",2-Apr-18,Current Employee , Engineer,R0098
RE084,"""Family run company needs a dose of professionalism and accountability.""",Social enviroment. Free coffee. Friendly people. Honest CEO.,"Too many. First and formost. the senior managers in IT division have no leadership qualities, vision or inteligence. They good people once in a while but cannot keep them for long term. Lot of money is spent on defect clean-up without any regard for defect prevention. Lot of incapable people get hired/promoted and keep their jobs on virtue of thier closeness to top management in IT. No accountability in IT division. CIO seems to be an aloof guy. Although the profit margin is very less, lot of money is spent on fancy IT projects managed by incompetents who are thrown out from other companies. Meritocracy and capitalism are unheard their. Bottom line - if you have worked in a public traded fortune 500 company -- dont join this company. But if you are looking for a job, then you might join this company. Make sure get close to as many top managers as possible. That's how you can keep your job without doing anything.",7-Jul-09,Current Employee , Business Analyst,R0099
RE085,"""Best Places to Work! Nasuni exceeded my expectations.""","Fun collaborative top-notch peers, smart challenging leaders who coach you daily, unlimited potential for your career opportunities and growth, welcoming diverse supportive culture where everyone helps you achieve your goals. After a prior layoff, I really wanted to get my next job right, so I asked trusted Boston VC's , ""How good is Nasuni's product and leadership?"" - each highly recommended Nasuni. I waited 9 months to write this endorsement, after working with everyone (yes, everyone) in the company, and Nasuni exceeded my wildest dreams. People here are uplifting, caring, super-super smart, respectful, and challenge you to exceed your own performance expectations. If you have an entrepreneurial mindset, are customer focused, and enjoy a high-growth culture, the other benefits; great healthcare, work-life balance, offices, competitive compensation, PTO, bonus, stock options, are icing on the cake.","Some attrition as Nasuni grew 190 to 300 last 9 months - continue to monitor organizational change and career pathing to support early stage and new employees. External employee brand doesn't match the amazing internal culture, and is drowned out by larger organizations spending $ Millions in talent advertising.",21-Sep-19,Current Employee , Senior Talent Acquisition Partner,R0100
RE086,"""Awesome people, inspiring clients.""","Some of the most caring and smart team members I’ve ever worked with. Clients, all entertainment based, are some of the most iconic brands in the world of entertainment. Great benefits package and time off policy.","Fast paced environment, but totally worth it.",12-Oct-18,Current Employee , Anonymous,R0101
RE087,"""Great company, bad starting salary, great environment! Insurance could use some help.""",Company takes ideas seriously. It is owned by an individual rather than a corporation. Company likes to offer tons of overtime if available.,Pay and Insurance costs. Expect almost half of your take home pay to be gobbled up by family insurance costs.,8-Mar-15,Current Employee , Lead Driver,R0102
RE088,"""Awesome Place to Work - Great Culture!""",° Growing company with great room for growth opportunities ° Great culture where you end up working with friends ° Flexibility with home/work balance and focus on employee development ° Entrepreneurial mentality allows for ownership of projects and ability to pursue special projects,"° No cons, but an on-site gym would be nice",30-Jan-19,Current Employee , Marketing & Distribution Manager,R0103
RE089,"""good company""","location, hours and staff were friendly",low pay and hard to advance up,6-Aug-19,Former Employee , Pharmacy Coordinator,R0104
